#Raw data from Altermatt & Ebert. Reduced flight-to-light behaviour of moth populations exposed to long-term urban light pollution. Biology Letters 2016.					
#Contact florian.altermatt@eawag.ch for questions					
location / country	family	population	sex	moths attracted	moths not attracted
Blochmont / F	BL-4	dark-sky	m	9	3
Blochmont / F	BL-4	dark-sky	f	7	9
Blochmont / F	BL-5	dark-sky	m	0	5
Blochmont / F	BL-5	dark-sky	f	0	6
Blochmont / F	BL-6	dark-sky	m	1	0
Blochmont / F	BL-6	dark-sky	f	0	2
Blochmont / F	BL-7	dark-sky	m	3	2
Blochmont / F	BL-7	dark-sky	m	4	2
Kleinlützel / CH	CHL-1	dark-sky	m	4	9
Kleinlützel / CH	CHL-1	dark-sky	f	2	16
Kleinlützel / CH	CHL-2	dark-sky	m	8	4
Kleinlützel / CH	CHL-2	dark-sky	f	2	6
Kleinlützel / CH	CHL-3	dark-sky	m	1	1
Kleinlützel / CH	CHL-3	dark-sky	f	0	3
Kleinlützel / CH	CHL-5	dark-sky	m	2	4
Kleinlützel / CH	CHL-5	dark-sky	f	0	13
Kleinlützel / CH	CHL-6	dark-sky	m	7	2
Kleinlützel / CH	CHL-6	dark-sky	f	3	6
Doucier / F	DC-1	dark-sky	m	4	6
Doucier / F	DC-1	dark-sky	f	6	13
Doucier / F	DC-2	dark-sky	m	5	5
Doucier / F	DC-2	dark-sky	f	4	8
Doucier / F	DC-3	dark-sky	m	0	0
Doucier / F	DC-3	dark-sky	f	0	3
Doucier / F	DC-4	dark-sky	m	0	4
Doucier / F	DC-4	dark-sky	f	1	7
Kiffis / F	FU-1	dark-sky	m	4	0
Kiffis / F	FU-1	dark-sky	f	2	3
Kiffis / F	FU-2	dark-sky	m	8	5
Kiffis / F	FU-2	dark-sky	f	5	5
Kiffis / F	FU-3	dark-sky	m	4	4
Kiffis / F	FU-3	dark-sky	f	0	5
Kiffis / F	FU-4	dark-sky	m	2	8
Kiffis / F	FU-4	dark-sky	f	5	2
Kiffis / F	FU-5	dark-sky	m	3	5
Kiffis / F	FU-5	dark-sky	f	9	10
Lutterbach / F	LU-5	dark-sky	m	1	7
Lutterbach / F	LU-5	dark-sky	f	4	7
Allschwil / CH	BG-10	light-polluted	m	1	5
Allschwil / CH	BG-10	light-polluted	f	0	5
Allschwil / CH	BG-11	light-polluted	m	0	5
Allschwil / CH	BG-11	light-polluted	f	1	4
Allschwil / CH	BG-2	light-polluted	m	1	9
Allschwil / CH	BG-2	light-polluted	f	1	14
Allschwil / CH	BG-7	light-polluted	m	5	8
Allschwil / CH	BG-7	light-polluted	f	5	9
Allschwil / CH	BG-8	light-polluted	m	5	7
Allschwil / CH	BG-8	light-polluted	f	2	13
Allschwil / CH	BG-9	light-polluted	m	9	17
Allschwil / CH	BG-9	light-polluted	f	4	14
Hegenheim / F	HE1-1	light-polluted	m	3	17
Hegenheim / F	HE1-1	light-polluted	f	2	11
Hegenheim / F	HE1-2	light-polluted	m	5	19
Hegenheim / F	HE1-2	light-polluted	f	6	12
Basel Kannenfeld / CH	KA-1	light-polluted	m	8	3
Basel Kannenfeld / CH	KA-1	light-polluted	f	3	2
Basel Kannenfeld / CH	KA-2	light-polluted	m	9	11
Basel Kannenfeld / CH	KA-2	light-polluted	m	0	12
Basel Kannenfeld / CH	KA-3	light-polluted	m	6	6
Basel Kannenfeld / CH	KA-3	light-polluted	f	1	16
Basel Kannenfeld / CH	KA-5	light-polluted	m	2	2
Basel Kannenfeld / CH	KA-5	light-polluted	f	3	0
Basel Kannenfeld / CH	KA-7	light-polluted	m	3	3
Basel Kannenfeld / CH	KA-7	light-polluted	f	3	4
Basel Kannenfeld / CH	KA-9	light-polluted	m	8	10
Basel Kannenfeld / CH	KA-9	light-polluted	f	3	11
Reinach/ CH	RH-1	light-polluted	m	2	5
Reinach/ CH	RH-1	light-polluted	f	1	10
Reinach/ CH	RH-3	light-polluted	m	22	20
Reinach/ CH	RH-3	light-polluted	f	7	17
Reinach/ CH	RH-4	light-polluted	m	0	7
Reinach/ CH	RH-4	light-polluted	f	1	9
Reinach/ CH	RH-5	light-polluted	m	10	29
Reinach/ CH	RH-5	light-polluted	f	5	25
Basel Spalentor / CH	ST-1	light-polluted	m	6	5
Basel Spalentor / CH	ST-1	light-polluted	f	5	15
Basel Spalentor / CH	ST-2	light-polluted	m	2	8
Basel Spalentor / CH	ST-2	light-polluted	f	3	13
Basel Spalentor / CH	ST-3	light-polluted	m	4	10
Basel Spalentor / CH	ST-3	light-polluted	f	5	14
Basel Spalentor / CH	ST-4	light-polluted	m	1	7
Basel Spalentor / CH	ST-4	light-polluted	f	2	14
Basel Spalentor / CH	ST-5	light-polluted	m	0	8
Basel Spalentor / CH	ST-5	light-polluted	f	0	5
Basel Spalentor / CH	ST-6	light-polluted	m	2	11
Basel Spalentor / CH	ST-6	light-polluted	f	0	8
Basel Spalentor / CH	ST-8	light-polluted	m	1	20
Basel Spalentor / CH	ST-8	light-polluted	f	1	6
Basel Spalentor / CH	ST-9	light-polluted	m	5	8
Basel Spalentor / CH	ST-9	light-polluted	f	6	15
